Flight,Airline,Registration,Serial Number,Manufacturer,Type,Age,From,To,Height,Date,Location
"RHC845","United States Air Force (USAF)","OO-0183","P-83","Boeing","C-17A Globemaster III","23","N/A","N/A","33000","22/04/2021","Abingdon"
"AC7237","Air Canada","C-FSBV","37182","Boeing","787-9 Dreamliner","5","FRA","ATL","41000","22/04/2021","Abingdon"
"UA961","United Airlines","N13013","40931","Boeing","787-10 Dreamliner","3","FRA","EWR","35975","22/04/2021","Abingdon"
"UA181","United Airlines","N29961","37811","Boeing","787-9 Dreamliner","7","FRA","DEN","36000","22/04/2021","Abingdon"
"LH514","Lufthansa","D-AIGM","0158","Airbus","A340-313","26","FRA","CUN","34000","22/04/2021","Abingdon"
"UA951","United Airlines","N26909","34827","Boeing","787-8 Dreamliner","9","BRU","IAD","37350","22/04/2021","Abingdon"
"KL773","KLM","PH-BQI","33714","Boeing","777-206(ER)","18","AMS","BON","36000","22/04/2021","Abingdon"
"EK9909","Emirates","A6-EGW","35601","Boeing","777-31H(ER)","10","N/A","N/A","34000","22/04/2021","Abingdon"
"DL15","Delta Air Lines","N826NW","1701","Airbus","A330-302","7","FRA","ATL","36025","22/04/2021","Abingdon"
"VS515","Virgin Atlantic","G-VZIG","37969","Boeing","787-9 Dreamliner","8","BRU","ATL","38000","22/04/2021","Abingdon"
"LH418","Lufthansa","D-AIKL","0905","Airbus","A330-343","15","FRA","IAD","36000","22/04/2021","Abingdon"
"LX8","Swiss","HB-JMH","0585","Airbus","A340-313","19","ZRH","ORD","34000","22/04/2021","Abingdon"
"UA988","United Airlines","N12006","60140","Boeing","787-10 Dreamliner","4","FRA","IAD","33975","22/04/2021","Abingdon"
"UA906","United Airlines","N29907","34830","Boeing","787-8 Dreamliner","9","FRA","ORD","39475","22/04/2021","Abingdon"
"UA2800","United Airlines","N14001","40936","Boeing","787-10 Dreamliner","5","FRA","ATL","35975","22/04/2021","Abingdon"
"LH402","Lufthansa","D-AIKK","0896","Airbus","A330-343","15","FRA","EWR","36000","22/04/2021","Abingdon"
"UA59","United Airlines","N26970","60146","Boeing","787-9 Dreamliner","6","FRA","SFO","36000","22/04/2021","Abingdon"
"QR701","Qatar Airways","A7-ANG","215","Airbus","A350-1041","4","DOH","JFK","38000","22/04/2021","Abingdon"
"TK1977","Turkish Airlines","TC-JJK","40711","Boeing","777-3F2(ER)","12","IST","DUB","38000","22/04/2021","Abingdon"
"KL735","KLM","PH-BQA","33711","Boeing","777-206(ER)","20","AMS","CUR","35000","22/04/2021","Abingdon"
"CLX64E","Cargolux","LX-OCV","29731","Boeing","747-4R7(F)","23","ORD","LUX","35000","22/04/2021","Abingdon"
"BCS215P","Cargo Air","LZ-CGP","23970","Boeing","737-35B(SF)","35","EMA","BLQ","35000","22/04/2021","Abingdon"
"CLX86M","Cargolux","LX-ECV","37303","Boeing","747-4HQF(ER)","14","LUX","MIA","34000","22/04/2021","Abingdon"
"ICV43B","Cargolux","LX-VCL","35823","Boeing","747-8R7(F)","8","LAX","LUX","37000","22/04/2021","Abingdon"
"UA986","United Airlines","N17963","37812","Boeing","787-9 Dreamliner","7","CDG","ORD","38000","23/04/2021","Abingdon"
"DL83","Delta Air Lines","N503DN","149","Airbus","A350-941","5","CDG","ATL","38000","23/04/2021","Abingdon"
"EI521","Aer Lingus","EI-DEM","2411","Airbus","A320-214","17","CDG","DUB","35975","23/04/2021","Abingdon"
"TK8","Turkish Airlines","TC-LJC","44123","Boeing","777-3F2(ER)","7","IAD","IST","37000","23/04/2021","Abingdon"
"DL263","Delta Air Lines","N804NW","0549","Airbus","A330-323","19","CDG","JFK","36000","23/04/2021","Abingdon"
"CC714","Magma Aviation","TF-AMN","27602","Boeing","747-4F6(BDSF)","24","GSP","HHN","33000","23/04/2021","Abingdon"
"AA49","American Airlines","N825AA","40644","Boeing","787-9 Dreamliner","6","CDG","DFW","38000","23/04/2021","Abingdon"
"SQ7951","Singapore Airlines Cargo","9V-SFI","28027","Boeing","747-412F(SCD)","23","DFW","BRU","35000","23/04/2021","Abingdon"
"LH462","Lufthansa","D-AIKP","1292","Airbus","A330-343","11","FRA","MIA","36000","23/04/2021","Abingdon"
"LH400","Lufthansa","D-AIKN","0922","Airbus","A330-343","15","FRA","JFK","38000","23/04/2021","Abingdon"
"OS89","Austrian Airlines","OE-LAZ","30331","Boeing","767-3Z9(ER)","24","VIE","EWR","34000","23/04/2021","Abingdon"
"AC7237","Air Canada","C-FNOG","35266","Boeing","787-9 Dreamliner","8","YYZ","FRA","41000","23/04/2021","Abingdon"
"UA961","United Airlines","N12006","60140","Boeing","787-10 Dreamliner","4","FRA","EWR","37975","23/04/2021","Abingdon"
"UA951","United Airlines","N28912","34828","Boeing","787-8 Dreamliner","9","BRU","IAD","38000","23/04/2021","Abingdon"
"AF1669","Air France","F-GUGE","2100","Airbus","A318-111","19","MAN","CDG","35000","23/04/2021","Abingdon"
"RU9506","Air Bridge Cargo","VQ-BLR","37668","Boeing","747-8HV(F)","11","CVG","BRU","37000","23/04/2021","Abingdon"
"DL15","Delta Air Lines","N820NW","0859","Airbus","A330-323","16","FRA","ATL","36000","23/04/2021","Abingdon"
"CLX53U","Cargolux","LX-TCV","30401","Boeing","747-4R7(F)","20","LUX","IND","34000","23/04/2021","Abingdon"
"KL743","KLM","PH-BVN","4459","Boeing","777-306(ER)","8","AMS","LIM","30000","23/04/2021","Abingdon"
"UA2777","United Airlines","N27901","34821","Boeing","787-8 Dreamliner","10","FRA","ORD","38000","23/04/2021","Abingdon"
"QR17","Qatar Airways","A7-BCQ","38335","Boeing","787-8 Dreamliner","8","DOH","DUB","42975","23/04/2021","Abingdon"
"UA2799","United Airlines","N14001","40936","Boeing","787-10 Dreamliner","5","FRA","EWR","37975","23/04/2021","Abingdon"
"KL757","KLM","PH-BVW","66889","Boeing","777-300(ER)","2","AMS","PTY","32000","23/04/2021","Abingdon"
"DE2228","Condor","D-ABUK","30009","Boeing","767-343(ER)","24","FRA","PUJ","32025","23/04/2021","Abingdon"
"MS985","EgyptAir","SU-GDP","38290","Boeing","777-36N(ER)","12","CAI","JFK","36000","23/04/2021","Abingdon"
"7L4785","Silk Way West Airlines","VQ-BBM","62709","Boeing","747-83Q(F)","6","HHN","LCK","33975","23/04/2021","Abingdon"
"DL3455","Delta Air Lines","N1604R","30180","Boeing","767-332(ER)","24","BRU","JFK","36000","23/04/2021","Abingdon"
"LH478","Lufthansa","D-AIKE","0636","Airbus","A330-343","18","FRA","YUL","36000","23/04/2021","Abingdon"
"UA85","United Airlines","N13013","40931","Boeing","787-10 Dreamliner","3","TLV","EWR","38000","23/04/2021","Abingdon"
"GEC8201","Lufthansa Cargo","D-ALFC","41676","Boeing","777-FBT","9","DFW","FRA","33000","23/04/2021","Abingdon"
"THY81D","Turkish Airlines","TC-JNO","1298","Airbus","A330-343","11","IST","BOS","36000","23/04/2021","Abingdon"
"GBIXL","Private Owner","G-BIXL","38675","North American","P51-D-20 Mustang","79","N/A","N/A","1550","24/04/2021","Abingdon"
"CLX84W","Cargolux","LX-VCE","35810","Boeing","747-8R7(F)","10","MIA","LUX","37000","24/04/2021","Abingdon"
"LH412","Lufthansa","D-AIXD","127","Airbus","A350-941","5","MUC","EWR","40000","24/04/2021","Abingdon"
"AF74","Air France","F-GSPJ","29009","Boeing","777-228(ER)","23","CDG","YVR","36000","26/04/2021","Abingdon"
"AA9701","American Airlines","N802AN","40620","Boeing","787-8 Dreamliner","8","AMS","PHL","40000","26/04/2021","Abingdon"
"DL259","Delta Air Lines","N811NW","0690","Airbus","A330-323","17","AMS","BOS","37000","26/04/2021","Abingdon"
"EI1521","Aer Lingus","EI-DVN","4715","Airbus","A320-214","12","CDG","DUB","36025","26/04/2021","Abingdon"
"TK8","Turkish Airlines","TC-LLO","65814","Boeing","787-9 Dreamliner","3","IAD","IST","41000","26/04/2021","Abingdon"
"THY82M","Turkish Airlines","TC-JOG","1620","Airbus","A330-303","8","BOS","IST","39000","26/04/2021","Abingdon"
"AA71","American Airlines","N825AA","40644","Boeing","787-9 Dreamliner","6","FRA","DFW","38000","26/04/2021","Abingdon"
"AC7311","Air Canada","C-FRAM","35250","Boeing","777-333(ER)","14","FRA","YYZ","34000","26/04/2021","Abingdon"
"LH430","Lufthansa","D-AIXP","390","Airbus","A350-941","3","FRA","ORD","38000","26/04/2021","Abingdon"
"UA961","United Airlines","N91007","40929","Boeing","787-10 Dreamliner","6","FRA","EWR","35975","26/04/2021","Abingdon"
"LH400","Lufthansa","D-AIKN","0922","Airbus","A330-343","15","FRA","JFK","38000","26/04/2021","Abingdon"
"UA181","United Airlines","N29981","66142","Boeing","787-9 Dreamliner","2","FRA","DEN","33975","26/04/2021","Abingdon"
"BGA141A","Airbus Transport International","F-GSTA","655","Airbus","A300-608ST Beluga","28","CEG","N/A","28975","26/04/2021","Abingdon"
"5C942","CAL Cargo Airlines","OO-ACE","24227","Boeing","747-412(BCF)","32","JFK","LGG","35000","26/04/2021","Abingdon"
"AF1669","Air France","F-GUGL","2686","Airbus","A318-111","17","MAN","CDG","34975","26/04/2021","Abingdon"
"UA951","United Airlines","N28912","34828","Boeing","787-8 Dreamliner","9","BRU","IAD","38000","26/04/2021","Abingdon"
"KL757","KLM","PH-BKD","42492","Boeing","787-10 Dreamliner","3","AMS","PTY","35975","26/04/2021","Abingdon"
"KL705","KLM","PH-BHL","38775","Boeing","787-9 Dreamliner","5","AMS","GIG","35975","26/04/2021","Abingdon"
"UA2799","United Airlines","N12006","60140","Boeing","787-10 Dreamliner","4","FRA","EWR","37975","26/04/2021","Abingdon"
"DL15","Delta Air Lines","N820NW","0859","Airbus","A330-323","16","FRA","ATL","36000","26/04/2021","Abingdon"
"LH446","Lufthansa","D-AIKR","1314","Airbus","A330-343","11","FRA","DEN","36000","26/04/2021","Abingdon"
"DL75","Delta Air Lines","N819NW","0858","Airbus","A330-323","15","AMS","ATL","36000","26/04/2021","Abingdon"
"LH418","Lufthansa","D-AIKQ","1305","Airbus","A330-343","11","FRA","IAD","38000","26/04/2021","Abingdon"
"UA906","United Airlines","N15969","60142","Boeing","787-9 Dreamliner","6","FRA","ORD","36000","26/04/2021","Abingdon"
"5X220","UPS","N272UP","48571","McDonnel Douglas","MD-11F","29","CGN","SDF","30000","26/04/2021","Abingdon"
"LH402","Lufthansa","D-AIGS","0297","Airbus","A340-313","23","FRA","EWR","38000","26/04/2021","Abingdon"
"AC7211","Air Canada","C-FITW","35298","Boeing","777-333(ER)","15","FRA","YYZ","34000","26/04/2021","Abingdon"
"UA47","United Airlines","N19986","66145","Boeing","787-9 Dreamliner","2","FRA","IAH","36000","26/04/2021","Abingdon"
"TK6438","Turkish Airlines","TC-LJM","60404","Boeing","777-FF2","5","MIA","MST","35000","26/04/2021","Abingdon"
"FX25","FedEx","N891FD","41440","Boeing","777-FS2","4","LGG","MEM","34000","07/05/2021","Abingdon"
"AF6731","Southern Air","F-GUOB","32965","Boeing","777-F28","14","PIK","CDG","35000","07/05/2021","Abingdon"
"3V10","ASL Airlines Belgium","OE-IFB","33516","Boeing","747-4B5F(ER)","19","LGG","JFK","34000","30/05/2021","Abingdon"
"FR7434","Ryanair","EI-DAR","33552","Boeing","737-8AS","19","STN","FAO","34765","30/05/2021","Abingdon"
"U21876","EasyJet","G-UZLK","9504","Airbus","A320-251N","3","FAO","MAN","38000","30/05/2021","Abingdon"
"3S413","AeroLogic","D-AALH","36200","Boeing","777-FZN","12","ORD","FRA","35000","30/05/2021","Abingdon"
"ET8802","United Nations","ET-ALJ","33767","Boeing","767-360(ER)","19","BEY","N/A","36025","31/05/2021","Abingdon"
"LH8221","Lufthansa Cargo","D-ALFA","41674","Boeing","777-FBT","9","DFW","FRA","37000","31/05/2021","Abingdon"
"KL789","KLM","PH-AOC","0703","Airbus","A330-203","17","CUR","AMS","39000","01/06/2021","Abingdon"
"UA907","United Airlines","N38955","37814","Boeing","787-9 Dreamliner","8","ORD","FRA","37000","01/06/2021","Abingdon"
"LH439","Lufthansa","D-AIKH","0648","Airbus","A330-343","18","DFW","FRA","38000","01/06/2021","Abingdon"
"FR4007","Ryanair","EI-DLC","33586","Boeing","737-8AS","17","MAN","ALC","37000","01/06/2021","Abingdon"
"UA972","United Airlines","N27958","36406","Boeing","787-9 Dreamliner","7","ORD","BRU","39975","01/06/2021","Abingdon"
"UA2798","United Airlines","N12003","40935","Boeing","787-10 Dreamliner","4","EWR","FRA","40822","01/06/2021","Abingdon"
"LH441","Lufthansa","D-AIKP","1292","Airbus","A330-343","11","IAH","FRA","37000","01/06/2021","Abingdon"
"FR2346","Ryanair","EI-DHY","33824","Boeing","737-8AS","17","PMI","NCL","40000","01/06/2021","Abingdon"
"FR3242","Ryanair","EI-EVO","40297","Boeing","737-8AS","11","MAN","BZR","41000","01/06/2021","Abingdon"
"FX4","FedEx","N822FD","32969","Boeing","777-F28","13","MEM","CGN","37000","01/06/2021","Abingdon"
"AC844","Air Canada","C-FVLQ","38357","Boeing","787-9 Dreamliner","5","YUL","FRA","40990","02/06/2021","Abingdon"
"UA2798","United Airlines","N14001","40936","Boeing","787-10 Dreamliner","5","EWR","FRA","40975","02/06/2021","Abingdon"
"UA960","United Airlines","N13013","40931","Boeing","787-10 Dreamliner","3","EWR","FRA","40000","02/06/2021","Abingdon"
"LH439","Lufthansa","D-AIKE","0636","Airbus","A330-343","18","DFW","FRA","39000","02/06/2021","Abingdon"
"UA2803","United Airlines","N12003","40935","Boeing","787-10 Dreamliner","4","ATL","FRA","38975","02/06/2021","Abingdon"
"RCH250","United States Air Force (USAF)","02-1100","P-100","Boeing","C-17A Globemaster III","21","DOV","N/A","35000","02/06/2021","Abingdon"
"FR8212","Ryanair","EI-EMC","38510","Boeing","737-8AS","13","BRS","WRO","35098","02/06/2021","Abingdon"
"FR9428","Ryanair","EI-EST","34994","Boeing","737-8AS","11","DUB","BGY","37000","02/06/2021","Abingdon"
"FR3204","Ryanair","EI-EBK","37528","Boeing","737-8AS","14","MAN","CIA","35719","02/06/2021","Abingdon"
"D0922","DHL","D-ALMD","1070","Airbus","A330-243F","12","BRU","MIA","36000","02/06/2021","Abingdon"
"UA58","United Airlines","N27965","37815","Boeing","787-9 Dreamliner","7","SFO","FRA","39975","08/06/2021","Abingdon"
"AF11","Air France","F-GSQV","32854","Boeing","777-328(ER)","15","JFK","CDG","38000","08/06/2021","Abingdon"
"D0922","DHL","D-ALMA","1524","Airbus","A330-243F","8","BRU","MIA","36000","08/06/2021","Abingdon"
"TK6363","AirACT","TC-ACF","25645","Boeing","747-481(BDSF)","30","YYZ","ISL","39000","08/06/2021","Abingdon"
"TOM524P","TUI","G-TUIO","64294","Boeing","787-9 Dreamliner","3","BHX","STR","36125","08/06/2021","Abingdon"
"SQ7973","Singapore Airlines Cargo","9V-SFO","32900","Boeing","747-412F(SCD)","18","LAX","BRU","34000","08/06/2021","Abingdon"
"LH457","Lufthansa","D-AIXQ","427","Airbus","A350-941","2","LAX","FRA","39000","08/06/2021","Abingdon"
"U2880","EasyJet","G-UZLF","9103","Airbus","A320-251N","3","GLA","LGW","14963","08/06/2021","Abingdon"
"QR726","Qatar Airways","A7-ANJ","266","Airbus","A350-1041","3","ORD","DOH","37000","08/06/2021","Abingdon"
"5Y4702","Atlas Air","N508KZ","36135","Boeing","747-4KZ(F)","14","HHN","GSP","34000","08/06/2021","Abingdon"
"KL736","KLM","PH-BVG","38867","Boeing","777-306(ER)","10","CUR","AMS","39000","08/06/2021","Abingdon"
"EY902","Etihad Cargo","A6-DDD","62744","Boeing","777-FFX","7","ORD","FRA","39025","08/06/2021","Abingdon"
"AC7217","Air Canada","C-FGDT","37171","Boeing","787-9 Dreamliner","7","ZRH","YYZ","40000","08/06/2021","Abingdon"
"KF131","CMA CGM Air Cargo","OO-CGM","1584","Airbus","A330-243F","8","LGG","BGR","34000","08/06/2021","Abingdon"
"TK6","Turkish Airlines","TC-LJK","60402","Boeing","777-3F2(ER)","6","ORD","IST","37000","08/06/2021","Abingdon"
"UA998","United Airlines","N91007","40929","Boeing","787-10 Dreamliner","6","BRU","EWR","36000","08/06/2021","Abingdon"
"AA203","American Airlines","N816AA","40634","Boeing","787-8 Dreamliner","7","AMS","PHL","38000","08/06/2021","Abingdon"
"UA973","United Airlines","N27903","34823","Boeing","787-8 Dreamliner","10","BRU","ORD","38000","08/06/2021","Abingdon"
"FR8216","Ryanair","SP-RSW","44778","Boeing","737-8AS","6","BRS","POZ","37450","08/06/2021","Abingdon"
"5Y8469","Atlas Air","N662GT","27619","Boeing","767-31A(ER)","27","RMS","BWI","32000","08/06/2021","Abingdon"
"UA951","United Airlines","N17002","40930","Boeing","787-10 Dreamliner","4","BRU","IAD","35975","08/06/2021","Abingdon"
"AF1669","Air France","F-GUGF","2109","Airbus","A318-111","19","MAN","CDG","34975","08/06/2021","Abingdon"
"EK9369","Emirates","A6-EGO","35598","Boeing","777-31H(ER)","11","MST","LCK","34000","08/06/2021","Abingdon"
"OR385","TUI","PH-TFL","37228","Boeing","787-8 Dreamliner","8","AMS","BON","38000","08/06/2021","Abingdon"
"DE2114","Condor","D-ABUO","29387","Boeing","767-3Q8(ER)","22","FRA","CUN","34000","08/06/2021","Abingdon"
"KL743","KLM","PH-BVN","4459","Boeing","777-306(ER)","8","AMS","LIM","30000","08/06/2021","Abingdon"
"LX8","Swiss","HB-JMA","0538","Airbus","A340-313","19","ZRH","ORD","34000","08/06/2021","Abingdon"
"CLX47G","Cargolux","LX-VCB","35806","Boeing","747-8R7(F)","11","LCK","LUX","35000","08/06/2021","Abingdon"
"KL735","KLM","PH-BVS","61604","Boeing","777-306(ER)","6","AMS","CUR","34000","08/06/2021","Abingdon"
"5Y8123","Atlas Air","N464MC","26341","Boeing","747-446","30","RMS","BWI","34000","08/06/2021","Abingdon"
"LH441","Lufthansa","D-AIKF","0642","Airbus","A330-343","18","IAH","FRA","41000","09/06/2021","Abingdon"
"KL714","KLM","PH-BQL","34711","Boeing","777-206(ER)","16","PBM","AMS","41000","09/06/2021","Abingdon"
"UA952","United Airlines","N27903","34823","Boeing","787-8 Dreamliner","10","ORD","MUC","41000","09/06/2021","Abingdon"
"DL14","Delta Air Lines","N819NW","0858","Airbus","A330-323","15","ATL","FRA","39000","09/06/2021","Abingdon"
"FR8212","Ryanair","EI-EMH","34974","Boeing","737-8AS","13","BRS","WRO","37623","09/06/2021","Abingdon"
"UA140","United Airlines","N15969","60142","Boeing","787-9 Dreamliner","6","ORD","TLV","38000","09/06/2021","Abingdon"
"UA182","United Airlines","N23983","66140","Boeing","787-9 Dreamliner","3","DEN","FRA","40975","09/06/2021","Abingdon"
"UA960","United Airlines","N13013","40931","Boeing","787-10 Dreamliner","3","EWR","FRA","39000","09/06/2021","Abingdon"
"KL789","KLM","PH-AOA","0682","Airbus","A330-203","18","AMS","SXM","38000","09/06/2021","Abingdon"
"AC7220","Air Canada","C-FRSI","37176","Boeing","787-9 Dreamliner","6","YYZ","BSL","39000","09/06/2021","Abingdon"
"SV3922","Saudia Cargo","TF-AMR","27898","Boeing","747-45E(BDSF)","28","JFK","LGG","41000","09/06/2021","Abingdon"
"3V11","ASL Airlines Belgium","OE-IFM","36785","Boeing","747-4EKZF","14","YHZ","LGG","37000","09/06/2021","Abingdon"
"COMET458","Royal Air Force (RAF)","ZM416","058","Airbus","A400M","2","BZZ","N/A","2100","09/06/2021","Abingdon"
"CLX54W","Cargolux","LX-SCV","29733","Boeing","747-4R7(F)","21","IND","LUX","35000","12/06/2021","Abingdon"
"UA999","United Airlines","N12010","40926","Boeing","787-10 Dreamliner","3","EWR","BRU","38975","12/06/2021","Abingdon"
"LH517","Lufthansa","D-AIGX","0354","Airbus","A340-313","22","PUJ","FRA","37000","12/06/2021","Abingdon"
"TN68","Air Tahiti Nui","F-OVAA","62710","Boeing","787-9 Dreamliner","4","YVR","CDG","38975","12/06/2021","Abingdon"
"BY528P","TUI","G-TUIO","64294","Boeing","787-9 Dreamliner","3","GSP","STR","43000","12/06/2021","Abingdon"
"LH441","Lufthansa","D-AIKI","0687","Airbus","A330-343","17","IAH","FRA","38000","12/06/2021","Abingdon"
"DE2229","Condor","D-ABUM","25170","Boeing","767-31B(ER)","28","PUJ","FRA","37000","12/06/2021","Abingdon"
"UA952","United Airlines","N26960","36408","Boeing","787-9 Dreamliner","7","ORD","MUC","39000","12/06/2021","Abingdon"
"UA960","United Airlines","N14011","40934","Boeing","787-10 Dreamliner","3","EWR","FRA","37975","12/06/2021","Abingdon"
"CV4365","Cargolux","LX-VCE","35810","Boeing","747-8R7(F)","10","ORD","LUX","37000","12/06/2021","Abingdon"
"UA972","United Airlines","N24979","66141","Boeing","787-9 Dreamliner","3","ORD","BRU","37975","12/06/2021","Abingdon"
"UA907","United Airlines","N24972","40939","Boeing","787-9 Dreamliner","5","ORD","FRA","39000","12/06/2021","Abingdon"
"UA2803","United Airlines","N12004","60139","Boeing","787-10 Dreamliner","4","ATL","FRA","39975","12/06/2021","Abingdon"
"CLX97F","Cargolux","LX-VCL","35823","Boeing","747-8R7(F)","8","ORD","LUX","40000","12/06/2021","Abingdon"
"AF689","Air France","F-HTYE","407","Airbus","A350-941","3","ATL","CDG","41000","12/06/2021","Abingdon"
"TK3","Turkish Airlines","TC-LJH","44129","Boeing","777-3F2(ER)","7","IST","JFK","34000","12/06/2021","Abingdon"
"UA998","United Airlines","N12006","60140","Boeing","787-10 Dreamliner","4","BRU","EWR","36000","12/06/2021","Abingdon"
"3S423","AeroLogic","D-AALN","66632","Boeing","777-F","3","ATL","FRA","37000","12/06/2021","Abingdon"
"A36301","Aegean Airlines","SX-DNA","6655","Airbus","A320-232","8","SNN","ATH","39025","12/06/2021","Abingdon"
"KF111","CMA CGM Air Cargo","OO-CMA","1688","Airbus","A330-243F","7","LGG","ORD","36000","12/06/2021","Abingdon"
"FR4006","Ryanair","EI-EPA","34987","Boeing","737-8AS","12","ALC","MAN","40000","12/06/2021","Abingdon"
"P35396","CargoLogicAir","G-CLAA","33749","Boeing","747-446F","18","GSP","FRA","41000","12/06/2021","Abingdon"
"LH422","Lufthansa","D-AIKI","0687","Airbus","A330-343","17","FRA","BOS","36000","12/06/2021","Abingdon"
"LH498","Lufthansa","D-ABYG","37831","Boeing","747-830","10","FRA","MEX","32000","12/06/2021","Abingdon"
"UA47","United Airlines","N26967","60144","Boeing","787-9 Dreamliner","7","FRA","IAH","36000","12/06/2021","Abingdon"
"FR2478","Ryanair","EI-ENO","40302","Boeing","737-8AS","12","BCN","BHD","40000","12/06/2021","Abingdon"
"AF1817","Air France","F-GRHO","1271","Airbus","A319-111","22","DUB","CDG","36950","12/06/2021","Abingdon"
"VY8560","Vueling","EC-MFN","6594","Airbus","A320-232","8","BCN","KEF","36000","12/06/2021","Abingdon"
"3S461","AeroLogic","D-AALO","66085","Boeing","777-F","3","IAH","FRA","35000","12/06/2021","Abingdon"
"FR9221","Ryanair","EI-GXN","44856","Boeing","737-8AS","4","FAO","ABZ","40000","12/06/2021","Abingdon"
"3S488","AeroLogic","D-AALN","66632","Boeing","777-F","3","FRA","LAX","32000","12/06/2021","Abingdon"
"M68320","Amerijet International","N347CM","26995","Boeing","767-323(ER)(BDSF)","30","BRU","MIA","32000","12/06/2021","Abingdon"
"THY31K","Turkish Airlines","TC-LLA","65801","Boeing","787-9 Dreamliner","4","IST","ATL","38000","12/06/2021","Abingdon"
"LH434","Lufthansa","D-AIXD","127","Airbus","A350-941","5","MUC","ORD","38000","12/06/2021","Abingdon"
"FR2477","Ryanair","EI-ENO","40302","Boeing","737-8AS","12","BHD","BCN","41000","12/06/2021","Abingdon"
"LH402","Lufthansa","D-AIGP","0252","Airbus","A340-313","24","FRA","EWR","36000","12/06/2021","Abingdon"
"FR9079","Ryanair","EI-ENF","35034","Boeing","737-8AS","12","LBA","ALC","39000","12/06/2021","Abingdon"
"NO6905","Neos","I-NEOZ","34257","Boeing","737-86N","16","ALC","N/A","38000","12/06/2021","Abingdon"
"FR2521","Ryanair","EI-EFZ","38489","Boeing","737-8AS","13","ALC","GLA","40000","12/06/2021","Abingdon"
"TK6292","Turkish Cargo","TC-LJP","65744","Boeing","777-FF2","4","IAH","ISL","35000","12/06/2021","Abingdon"
"FX5081","FedEx","N892FD","38707","Boeing","777-FS2","12","MEM","CGN","37000","12/06/2021","Abingdon"
"FR9078","Ryanair","EI-ENF","35034","Boeing","737-8AS","12","ALC","LBA","40000","12/06/2021","Abingdon"
"BA513","British Airways","G-EUYE","3912","Airbus","A320-232","14","FAO","NCL","37998","12/06/2021","Abingdon"
"FR2522","Ryanair","EI-EFZ","38489","Boeing","737-8AS","13","GLA","ALC","39000","12/06/2021","Abingdon"
"VY8561","Vueling","EC-MFN","6594","Airbus","A320-232","8","KEF","BCN","37000","12/06/2021","Abingdon"
"W81895","CargoJet Airways","C-FMIJ","27135","Boeing","767-328(ER)(BDSF)","29","YHM","CGN","37000","12/06/2021","Abingdon"
"FR4135","Ryanair","SP-RSF","44840","Boeing","737-8AS","5","BRS","WMI","35902","12/06/2021","Abingdon"
"FR2327","Ryanair","EI-EKV","38507","Boeing","737-8AS","13","PMI","LBA","40000","13/06/2021","Abingdon"
"CV7787","Cargolux","LX-VCN","38076","Boeing","747-8R7(F)","6","LUX","MEX","30000","13/06/2021","Abingdon"
"AC7217","Air Canada","C-FGDT","37171","Boeing","787-9 Dreamliner","7","ZRH","YYZ","38000","13/06/2021","Abingdon"
"AC7210","Air Canada","C-FIVS","35784","Boeing","777-333(ER)","13","YYZ","FRA","39000","13/06/2021","Abingdon"
"DL47","Delta Air Lines","N403DX","1931","Airbus","A330-941","3","AMS","JFK","38000","13/06/2021","Abingdon"
"QR8184","Quatar Cargo","A7-BFS","66337","Boeing","777-F","3","ORD","OST","28378","13/06/2021","Abingdon"
"CV6616","Cargolux","LX-MCL","35232","Boeing","747-4HAF(ER)","16","DFW","LUX","39000","13/06/2021","Abingdon"
"AA49","American Airlines","N824AN","40643","Boeing","787-9 Dreamliner","6","CDG","DFW","37975","13/06/2021","Abingdon"
"UA961","United Airlines","N12010","40926","Boeing","787-10 Dreamliner","3","FRA","EWR","34989","13/06/2021","Abingdon"
"QR726","Qatar Airways","A7-ANK","332","Airbus","A350-1041","14","ORD","DOH","37000","13/06/2021","Abingdon"
"AA146","American Airlines","N778AN","29587","Boeing","777-223(ER)","24","JFK","TLV","38000","13/06/2021","Abingdon"
"LH400","Lufthansa","AD-AIGU","0321","Airbus","A340-313","23","FRA","JFK","36000","13/06/2021","Abingdon"
"DE2115","Condor","D-ABUT","29303","Boeing","767-3Q8(ER)","23","CUN","FRA","37000","13/06/2021","Abingdon"
"FR2326","Ryanair","EI-EKV","38507","Boeing","737-8AS","13","LBA","PMI","41000","13/06/2021","Abingdon"
"OS93","Austrian Airlines","OE-LAY","29867","Boeing","767-3Z9(ER)","24","VIE","IAD","34025","13/06/2021","Abingdon"
"U23507","EasyJet","G-UZLA","8982","Airbus","A320-251N","4","MAN","JER","39000","13/06/2021","Abingdon"
"OR365","TUI","PH-TFM","36429","Boeing","787-8 Dreamliner","8","AMS","CUR","37975","13/06/2021","Abingdon"
"AA45","American Airlines","N758AN","32637","Boeing","777-223(ER)","21","CDG","JFK","38000","13/06/2021","Abingdon"
"DL259","Delta Air Lines","N831NW","1783","Airbus","A330-302","5","AMS","BOS","36000","13/06/2021","Abingdon"
"3S451","AeroLogic","D-AALO","66085","Boeing","777-F","3","JFK","FRA","37000","13/06/2021","Abingdon"
"3V11","ASL Airlines Belgium","OE-IFB","33516","Boeing","747-4B5F(ER)","19","YHZ","LGG","33000","13/06/2021","Abingdon"
"LM326","Loganair","G-SAJK","145153","Embraer","ERJ-145EP","24","SOU","EDI","24602","13/06/2021","Abingdon"
